# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 1474

 -> 33 (5000) [1]
22,33,55,45,54 -> 21 (10000) [6]
22,33,13 -> 54 (3134) [6]
22,33,13,45 -> 52 (7614) [6]
22,33,13,45,12 -> 53 (10000) [6]
22,33,13,45,53 -> 12 (10000) [6]
22,33,13,45,44 -> 53 (10000) [6]
22,33,13,45,25 -> 53 (10000) [6]
22,33,13,45,55 -> 53 (10000) [6]
22,33,13,52 -> 45 (6519) [6]
22,33,13,52,12 -> 42 (10000) [6]
22,33,13,52,53 -> 12 (10000) [6]
22,33,13,52,44 -> 12 (10000) [6]
22,33,13,52,25 -> 12 (10000) [6]
22,33,13,52,55 -> 12 (10000) [6]
22,33,13,53 -> 25 (7614) [6]
22,33,13,53,12 -> 42 (10000) [6]
22,33,13,53,52 -> 12 (10000) [6]
22,33,13,53,44 -> 12 (10000) [6]
22,33,13,53,45 -> 12 (10000) [6]
22,33,13,53,55 -> 12 (10000) [6]
22,33,13,55 -> 12 (10000) [6]
22,33,13,55,52 -> 42 (10000) [6]
22,33,13,55,53 -> 42 (10000) [6]
22,33,13,55,25 -> 52 (10000) [6]
22,33,13,55,45 -> 52 (10000) [6]
22,33,13,25 -> 45 (6184) [6]
22,33,13,25,12 -> 42 (10000) [6]
22,33,13,25,52 -> 12 (10000) [6]
22,33,13,25,53 -> 12 (10000) [6]
22,33,13,25,44 -> 12 (10000) [6]
22,33,13,25,55 -> 12 (10000) [6]
22,33,45,35 -> 13 (10000) [6]
22,33,45,35,52 -> 42 (10000) [6]
22,33,45,35,53 -> 42 (10000) [6]
22,33,45,35,44 -> 42 (10000) [6]
22,33,45,35,54 -> 42 (10000) [6]
22,33,45,13 -> 54 (2919) [6]
22,33,45,13,52 -> 23 (10000) [6]
22,33,45,13,53 -> 42 (10000) [6]
22,33,45,13,44 -> 42 (10000) [6]
22,33,45,13,25 -> 52 (10000) [6]
22,33,45,13,55 -> 52 (10000) [6]
22,33,45,25,55 -> 42 (10000) [6]
22,33,45,44,52 -> 42 (10000) [6]
22,33,45,44,25 -> 42 (10000) [6]
33,12 -> 53 (10000) [6]
33,12,15 -> 43 (10000) [6]
33,12,15,51 -> 22 (10000) [6]
33,22 -> 35 (10000) [6]
33,22,44 -> 34 (10000) [6]
22,33,45,54,52 -> 42 (10000) [6]
22,33,45,54,25 -> 42 (10000) [6]
22,33,35 -> 34 (1284) [6]
22,33,35,12 -> 55 (2589) [6]
22,33,35,12,52 -> 43 (10000) [6]
22,33,35,12,53 -> 42 (10000) [6]
22,33,35,12,45 -> 43 (10000) [6]
22,33,35,12,54 -> 43 (3086) [6]
22,33,35,12,25 -> 43 (10000) [6]
22,33,35,45 -> 12 (10000) [6]
22,33,35,45,52 -> 13 (10000) [6]
22,33,35,45,53 -> 13 (10000) [6]
22,33,35,45,44 -> 13 (10000) [6]
22,33,35,45,54 -> 13 (10000) [6]
22,33,35,55 -> 12 (10000) [6]
22,33,35,55,52 -> 13 (10000) [6]
22,33,35,55,53 -> 13 (10000) [6]
22,33,35,55,54 -> 13 (10000) [6]
22,33,35,55,25 -> 13 (10000) [6]
22,33,35,25 -> 12 (10000) [6]
22,33,35,25,52 -> 13 (10000) [6]
22,33,35,25,53 -> 13 (10000) [6]
22,33,35,25,44 -> 13 (10000) [6]
22,33,35,25,54 -> 13 (10000) [6]
22,33,35,25,55 -> 13 (10000) [6]
22,33,35,54 -> 43 (2589) [6]
22,33,35,54,12 -> 55 (3086) [6]
22,33,35,54,55 -> 12 (10000) [6]
22,33,35,54,53 -> 12 (10000) [6]
22,33,35,54,45 -> 12 (10000) [6]
22,33,35,54,25 -> 12 (10000) [6]
33,12,54 -> 22 (10000) [6]
33,12,54,15 -> 21 (10000) [6]
33,12,54,15,25 -> 31 (10000) [6]
33,12,54,15,31 -> 25 (10000) [6]
33,12,54,15,35 -> 25 (10000) [6]
33,12,54,15,41 -> 25 (10000) [6]
33,12,54,15,42 -> 25 (10000) [6]
33,12,54,21 -> 15 (10000) [6]
33,12,54,21,25 -> 31 (10000) [6]
33,12,54,21,31 -> 25 (10000) [6]
33,12,54,21,35 -> 25 (10000) [6]
33,12,54,21,41 -> 25 (10000) [6]
33,12,54,21,42 -> 25 (10000) [6]
33,12,54,25 -> 15 (10000) [6]
33,12,54,25,21 -> 31 (10000) [6]
33,12,54,25,31 -> 21 (10000) [6]
